Coin,Name,Symbol,PCoin,PPrice,Trend_1D,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
LOVE,LOVE/USDT,loveusdt,2,8,2,0.0,0.0,0,0,0,0,0.016,0.0005,0.01118999,0.01118999,10000.00604812,0.01118999,0.01118999,0.01118999,0.01118999,0.01118999,False,False,1,0.0,0.0005,0.016,0.00598902
IMX,IMX/USDT,imxusdt,4,4,1,0.0,2.1298,0,1,0,0,1.2913,0.6775,1.574,2.1298,10001.0769,1.574,1.574,2.1298,4.68,4.68,False,False,0,1.1675,0.6775,2.1298,0.9876
INDI,INDI/USDT,indiusdt,4,4,1,0.0,0.2404,1,2,1,0,0.2393,0.2311,0.1877,0.2404,10000.2245,0.1877,0.1809,0.2404,0.1809,0.1809,False,False,1,0.1877,0.1877,0.2393,0.237
SWFTC,SWFTC/USDT,swftcusdt,2,6,1,0.001353,0.0043,2,1,1,1,0.001234,0.001094,0.000747,0.001462,0.001462,0.000747,0.001906,0.001462,0.001825,0.001825,False,True,0,0.000747,0.001094,0.001462,0.001116
XRP,XRP/USDT,xrpusdt,2,5,1,0.0,0.8,0,1,0,0,0.46574,0.33644,0.67991,0.8,10000.42258,0.67991,0.67991,0.8,1.14993,1.14993,False,False,0,0.54793,0.33644,0.8,0.41718
AR,AR/USDT,arusdt,2,4,1,0.0,35.5123,1,2,1,0,19.7087,12.942,9.8929,35.5123,10014.8802,9.8929,32.0763,35.5123,78.5724,78.5724,False,False,1,9.8929,9.8929,19.7087,15.3717
CEEK,CEEK/USDT,ceekusdt,4,4,2,0.0,0.0,0,1,0,0,0.2741,0.1095,0.525,0.69,10000.1891,0.525,0.525,0.525,0.525,0.525,False,False,0,0.0,0.1095,0.69,0.1826
VET,VET/USDT,vetusdt,4,6,2,0.044084,0.069419,0,1,1,1,0.034283,0.023988,0.044084,0.089323,10000.03279,-9999.933908,0.044084,0.057241,0.156083,0.156083,False,False,0,0.089323,0.023988,0.089323,0.031374
HC,HC/USDT,hcusdt,4,4,1,0.0,0.3646,0,1,0,1,0.2121,0.1205,0.3244,0.3646,10000.1628,0.3244,0.3244,0.3646,0.6841,0.6841,False,False,0,0.2874,0.1205,0.3646,0.1563
YGG,YGG/USDT,yggusdt,4,4,1,0.0,2.0953,0,1,0,0,1.0904,0.4786,1.6575,2.0953,10001.0904,1.6575,2.3372,2.0953,6.9356,6.9356,False,False,0,1.6575,0.4786,2.0953,0.8149
HOTCROSS,HOTCROSS/USDT,hotcrossusdt,4,4,2,0.0,0.0,0,1,0,0,0.0877,0.0573,0.1925,0.3067,10000.0837,-9999.8,0.1925,0.1925,0.1925,0.1925,False,False,0,0.0,0.0573,0.3067,0.0784
GST,GST/USDT,gstusdt,4,4,2,0.0,0.0,0,1,0,2,3.3573,1.9014,4.01,7.2068,10002.9766,-9994.2748,3.0891,3.0891,3.0891,3.0891,False,False,0,7.2068,1.9014,7.2068,2.8919
TRX,TRX/USDT,trxusdt,2,6,0,0.057735,0.07204,1,0,1,0,0.092703,0.062207,0.057735,0.079546,0.079546,-9999.928585,0.057735,0.071645,0.103409,0.103409,False,False,1,0.079546,0.057735,0.092703,0.076077
TRACE,TRACE/USDT,traceusdt,4,4,1,0.0,0.2247,0,1,0,0,0.0713,0.0612,0.172,0.2247,10000.0696,0.172,1.1518,0.2247,1.1518,1.1518,False,False,0,0.172,0.0612,0.2247,0.0679
FSN,FSN/USDT,fsnusdt,4,4,1,0.0,0.51,0,1,0,0,0.3473,0.1928,0.3359,0.51,10000.3217,0.3359,0.525,0.51,0.6354,0.6354,False,False,0,0.3359,0.1928,0.51,0.3065
SUN,SUN/USDT,sunusdt,2,6,1,0.0,0.017114,0,1,0,1,0.010126,0.007701,0.01357,0.017114,10000.009061,0.01357,0.01357,0.017114,0.034786,0.034786,False,False,0,0.010662,0.007701,0.017114,0.008814
BSV,BSV/USDT,bsvusdt,4,4,2,0.0,84.0292,0,1,1,0,57.7529,44.9322,73.9026,101.927,10051.1851,-9909.975,75.0766,84.0292,172.7537,172.7537,False,False,0,73.9026,44.9322,101.927,50.144
ATS,ATS/USDT,atsusdt,2,6,1,0.0,0.371253,0,1,0,1,0.220884,0.200001,0.303671,0.371253,10000.217848,0.303671,0.32523,0.371253,0.32,0.32,False,False,0,0.303671,0.200001,0.371253,0.216315
VOXEL,VOXEL/USDT,voxelusdt,4,4,2,0.0,0.0,0,1,0,0,0.8651,0.3316,1.4012,1.7,10000.7547,-9998.6434,1.4012,1.4012,1.4012,1.4012,False,False,0,0.0,0.3316,1.7,0.7035
BSV*3,BSV*3/USDT,bsv3lusdt,4,10,2,0.0,2.951e-05,0,1,1,0,7e-06,3.26e-06,1.98e-05,4.882e-05,10000.0000044813,-9999.99995974,2.124e-05,2.951e-05,0.00121831,0.00121831,False,False,0,1.98e-05,3.26e-06,4.882e-05,4.1767e-06
