Coin,Name,Symbol,PCoin,PPrice,Trend_H1,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
LOVE,LOVE/USDT,loveusdt,2,8,0,0.0,0.0,1,0,0,1,0.00609536,0.00589941,0.005529,0.005727,0.00498672,-9999.99397409,0.00498672,0.00498672,0.00498672,0.00498672,False,False,1,0.005727,0.005529,0.00609536,0.00606765
IMX,IMX/USDT,imxusdt,4,4,0,0.8108,0.8612,1,0,0,0,1.0769,0.9232,0.8108,0.9219,0.9219,-9999.0341,0.8108,0.8612,0.8267,0.8267,False,False,1,0.7939,0.8108,1.0769,0.974
INDI,INDI/USDT,indiusdt,4,4,2,0.2346,0.0,0,1,0,1,0.2276,0.2264,0.2346,0.2378,10000.2272,-9999.7622,0.2346,0.235,0.1904,0.1904,False,False,0,0.2378,0.2264,0.2378,0.2272
SWFTC,SWFTC/USDT,swftcusdt,2,6,1,0.001158,0.001378,0,1,0,1,0.0013,0.001094,0.001261,0.001378,10000.001148,0.001261,0.001261,0.001378,0.000952,0.000952,False,False,0,0.001462,0.001094,0.001378,0.001148
XRP,XRP/USDT,xrpusdt,2,5,0,0.41012,0.4177,1,0,1,0,0.42554,0.41441,0.41012,0.41824,0.41824,-9999.58101,0.41012,0.41824,0.42218,0.42218,False,False,1,0.39033,0.41012,0.42554,0.42003
AR,AR/USDT,arusdt,2,4,0,14.8609,15.8993,2,1,1,1,15.9041,15.1952,14.8609,16.0205,16.0205,-9984.3852,14.8609,15.2984,14.4817,14.4817,False,False,0,16.0205,15.1952,16.0205,15.6735
CEEK,CEEK/USDT,ceekusdt,4,4,2,0.0,0.0,0,2,0,1,0.21,0.1534,0.179,0.2092,10000.1793,0.179,0.179,0.1788,0.1788,0.1788,False,False,1,0.188,0.179,0.21,0.1817
VET,VET/USDT,vetusdt,4,6,0,0.029964,0.031358,2,1,1,1,0.032402,0.03105,0.029964,0.03279,0.03279,-9999.968128,0.029964,0.030829,0.030976,0.030976,False,False,0,0.03279,0.03105,0.03279,0.031769
HC,HC/USDT,hcusdt,4,4,1,0.1523,0.17,2,1,1,1,0.1607,0.1499,0.1397,0.1628,0.1628,0.1397,0.1616,0.1628,0.1602,0.1602,False,True,0,0.1397,0.1499,0.1628,0.1571
YGG,YGG/USDT,yggusdt,4,4,0,0.6181,0.6496,1,0,1,0,1.0904,0.6522,0.6181,0.6863,0.6863,-9999.2081,0.6181,0.6496,0.6282,0.6282,False,False,1,0.569,0.6181,1.0904,0.8288
