Coin,Name,Symbol,PCoin,PPrice,Trend_1M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
ICX,ICX/USDT,icxusdt,4,4,0,0.3574,0.3558,1,0,1,0,0.3878,0.3866,0.3574,0.3584,0.3584,-9999.6131,0.3574,0.3584,0.3562,0.3562,False,False,1,0.3602,0.3578,0.3878,0.3873
USDT,USDT/RUB,usdtrub,1,2,2,0.0,0.0,2,1,0,0,59.4,59.4,59.25,61.47,61.47,-9938.53,59.31,59.31,59.31,59.31,False,False,0,0.0,59.4,61.47,59.4
REVV,REVV/USDT,revvusdt,4,6,2,0.0,0.0,1,0,0,0,0.029721,0.029529,0.027588,0.027921,10000.027683,-9999.970394,0.027821,0.027821,0.027821,0.027821,False,False,1,0.0,0.027588,0.029721,0.029618
BAGS,BAGS/USDT,bagsusdt,4,4,2,1.3438,0.0,0,1,0,1,1.3399,1.2421,1.3438,1.3801,10001.3398,-9998.6297,1.3438,1.3501,1.3495,1.3495,False,False,0,1.3801,1.2421,1.3801,1.3397
ONT,ONT/USDT,ontusdt,4,4,0,0.2679,0.2678,1,0,1,0,0.2862,0.2862,0.2679,0.2691,0.2691,-9999.7138,0.2679,0.2678,0.2695,0.2695,False,False,1,0.2675,0.2679,0.2862,0.2862
HIVE,HIVE/USDT,hiveusdt,2,4,0,0.477,0.0,2,1,0,1,0.5146,0.5146,0.477,0.5148,0.5148,-9999.4852,0.477,0.4758,0.4779,0.4779,False,False,0,0.5148,0.5146,0.5148,0.5146
FLOKI,FLOKI/USDT,flokiusdt,2,8,0,9.77e-06,9.83e-06,1,0,1,0,1.042e-05,1.038e-05,9.77e-06,9.78e-06,9.78e-06,-9999.99998962,9.77e-06,9.78e-06,9.5e-06,9.5e-06,False,False,1,9.75e-06,9.77e-06,1.042e-05,1.04e-05
FIL*3,FIL*3/USDT,fil3lusdt,4,9,2,1.0265e-05,1.0165e-05,2,1,1,1,1.1625e-05,1.1625e-05,1.024e-05,1.1723e-05,1.1723e-05,-9999.999988277,1.0265e-05,1.0165e-05,1.0311e-05,1.0311e-05,False,False,0,1.0399e-05,1.1625e-05,1.1723e-05,1.1625e-05
WXT,WXT/USDT,wxtusdt,2,6,0,0.011473,0.0,1,0,0,0,0.01192,0.01192,0.011473,0.011529,0.011529,-9999.98808,0.011473,0.01179,0.01179,0.01179,False,False,1,0.0,0.011473,0.01192,0.01192
JUMBO,JUMBO/USDT,jumbousdt,4,4,0,3.1712,0.0,1,0,0,0,3.6298,3.6016,3.1712,3.3264,3.3264,-9996.3983,3.1712,3.2849,3.2849,3.2849,False,False,1,0.0,3.1712,3.6298,3.6132
DOT*(-2),DOT*(-2)/USDT,dot2susdt,4,6,2,0.0,0.0,0,1,0,0,0.272404,0.272404,0.293627,0.30485,10000.272404,-9999.695154,0.297068,0.297068,0.297068,0.297068,False,False,0,0.0,0.272404,0.30485,0.272404
TRACE,TRACE/USDT,traceusdt,4,4,0,0.0638,0.0,1,0,0,0,0.0685,0.0648,0.0638,0.0647,0.0647,-9999.9331,0.0638,0.0619,0.0619,0.0619,False,False,1,0.0647,0.0638,0.0685,0.0669
