Coin,Name,Symbol,PCoin,PPrice,Trend_4H,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
ICX,ICX/USDT,icxusdt,4,4,0,0.3394,0.625,1,2,1,1,0.3769,0.341,0.3296,0.416,0.416,0.3296,0.3296,0.3969,0.7078,0.7078,True,False,1,0.416,0.3296,0.3769,0.3565
USDT,USDT/RUB,usdtrub,1,2,2,0.0,0.0,0,0,0,0,68.5,58.41,61.38,61.38,10061.48,-9940.71,61.38,61.38,61.38,61.38,False,False,0,0.0,58.41,67.0,59.28
REVV,REVV/USDT,revvusdt,4,6,1,0.0,0.047889,1,2,1,0,0.029954,0.026966,0.026525,0.047889,10000.02754,0.026525,0.063447,0.047889,0.082632,0.082632,False,False,1,0.026525,0.026525,0.029954,0.02769
BAGS,BAGS/USDT,bagsusdt,4,4,2,0.0,0.0,0,1,0,0,1.9596,1.0,3.0133,3.1064,10001.4541,-9996.8228,3.1801,3.1801,3.1801,3.1801,False,False,0,0.0,1.0,3.1064,1.286
ONT,ONT/USDT,ontusdt,4,4,0,0.2373,0.5526,2,1,1,1,0.2711,0.2586,0.2481,0.2855,0.2851,0.2481,0.2481,0.2855,0.4915,0.4915,True,True,0,0.3001,0.2586,0.2851,0.2684
HIVE,HIVE/USDT,hiveusdt,2,4,2,0.4734,0.7838,2,1,1,1,0.4912,0.4558,0.4473,0.5041,0.5041,0.4473,0.4734,0.5041,0.8413,0.8413,False,True,0,0.5719,0.4558,0.5041,0.474
FLOKI,FLOKI/USDT,flokiusdt,2,8,1,0.0,1.74e-05,0,1,0,1,1.203e-05,6.3e-06,1.31e-05,1.74e-05,10000.00000972,1.31e-05,2.765e-05,1.74e-05,2.765e-05,2.765e-05,False,False,0,3.178e-05,6.3e-06,1.74e-05,9.65e-06
FIL*3,FIL*3/USDT,fil3lusdt,4,9,2,0.000299,0.000431,0,1,1,1,1.9e-05,8e-06,0.000299,0.000358,10000.000010365,-9999.999681,0.000299,0.000331,0.000401,0.000401,False,False,0,0.000358,8e-06,0.000358,1.0066e-05
WXT,WXT/USDT,wxtusdt,2,6,2,0.009798,0.011136,0,0,1,1,0.012213,0.007942,0.0089,0.011136,10000.009065,-9999.988358,0.009886,0.011136,0.007549,0.007549,False,False,1,0.0089,0.0089,0.012213,0.011642
JUMBO,JUMBO/USDT,jumbousdt,4,4,2,0.0,0.0,0,0,0,0,5.457,2.0,3.7211,3.7211,10003.3779,3.7211,3.7211,3.7211,3.7211,3.7211,False,False,1,0.0,2.0,5.457,3.2783
