Coin,Name,Symbol,PCoin,PPrice,Trend_5M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice
HC,HC/USDT,hcusdt,4,4,2,0.1509,0.1535,2,1,1,1,0.1512,0.1474,0.1501,0.152,0.152,0.1501,0.1509,0.152,0.1468,0.1468,False,True,0,0.1525,0.1474,0.152
SXP,SXP/USDT,sxpusdt,4,4,1,0.4561,0.4735,1,2,1,1,0.4665,0.4628,0.4612,0.4716,0.4716,0.4612,0.4612,0.4716,0.4433,0.4433,True,True,1,0.4586,0.4612,0.4665
HOTCROSS,HOTCROSS/USDT,hotcrossusdt,4,4,0,0.0722,0.0694,1,2,1,1,0.0749,0.0744,0.0727,0.075,0.075,0.0727,0.0727,0.0694,0.0662,0.0662,True,False,1,0.075,0.0727,0.0749
MGG,MGG/USDT,mggusdt,4,6,2,0.0,0.0,1,0,0,0,0.023593,0.023011,0.02292,0.023763,10000.023065,-9999.976498,0.023763,0.023763,0.023763,0.023763,False,False,1,0.0,0.02292,0.023593
WEMIX,WEMIX/USDT,wemixusdt,4,4,2,2.8152,2.5835,2,1,1,1,2.7226,2.7226,2.6868,2.9699,2.9699,2.6868,2.8152,2.9699,2.2072,2.2072,False,True,0,3.9486,2.7226,2.9699
ERN,ERN/USDT,ernusdt,4,4,1,2.2757,2.219,1,2,1,1,2.1974,2.19,2.1962,2.219,10002.1962,2.1962,2.2757,2.219,2.2116,2.2116,False,False,1,2.1962,2.1962,2.1974
CKB,CKB/USDT,ckbusdt,2,6,2,0.004879,0.004861,1,2,1,1,0.004915,0.004859,0.004876,0.004951,10000.004886,0.004876,0.004879,0.004861,0.004823,0.004823,False,False,1,0.004951,0.004876,0.004915
BCH,BCH/USDT,bchusdt,4,2,2,0.0,192.79,1,2,1,0,191.46,190.88,190.26,192.04,192.04,190.26,190.26,192.04,192.17,192.17,True,True,1,191.35,190.26,191.46
GODS,GODS/USDT,godsusdt,4,4,2,0.8255,0.7515,1,0,1,1,0.7936,0.7517,0.6938,0.7515,10000.7018,-9999.2274,0.7308,0.7515,0.6877,0.6877,False,False,1,0.6938,0.6938,0.7936
ZEC,ZEC/USDT,zecusdt,4,2,2,106.53,103.93,1,2,1,1,102.67,101.83,101.43,102.83,102.83,101.43,101.43,102.83,105.73,105.73,True,True,1,102.58,101.43,102.67
PLU,PLU/USDT,pluusdt,4,4,2,0.0,0.0,1,2,0,1,9.2493,9.2493,9.0799,9.2743,10009.0799,9.0799,9.1435,9.1435,9.1435,9.1435,False,False,1,9.2743,9.0799,9.2493
RETH,RETH/USDT,rethusdt,4,6,0,0.04494,0.0,1,0,0,0,0.046633,0.045114,0.04494,0.045209,0.045209,-9999.95469,0.04494,0.045209,0.04461,0.04461,False,False,1,0.0,0.04494,0.046633
AVAX,AVAX/USDT,avaxusdt,4,4,2,28.999,29.2015,1,0,1,1,29.3523,29.1816,28.604,29.2015,10028.8459,-9970.8184,29.1916,29.2015,28.8336,28.8336,False,False,1,28.604,28.604,29.3523
ACT,ACT/USDT,actusdt,2,6,2,0.0,0.003086,2,1,1,1,0.003018,0.003002,0.003002,0.003122,0.003122,0.003002,0.003002,0.003122,0.003068,0.003068,True,True,0,0.002995,0.003002,0.003122
LTC*3,LTC*3/USDT,ltc3lusdt,4,6,2,0.003685,0.003704,0,1,1,1,0.003598,0.003566,0.003685,0.0038,10000.003566,-9999.9962,0.003685,0.003704,0.003503,0.003503,False,False,0,0.0038,0.003566,0.0038
BSV,BSV/USDT,bsvusdt,4,4,2,49.397,0.0,0,1,0,1,49.1303,47.0189,49.397,49.8052,10047.877,-9950.3679,49.397,49.4863,49.2946,49.2946,False,False,0,49.8052,47.0189,49.8052
ERTHA,ERTHA/USDT,erthausdt,2,6,2,0.0,0.0,0,0,0,0,0.018921,0.018233,0.018823,0.018823,10000.018682,-9999.981177,0.018823,0.018823,0.018823,0.018823,False,False,0,0.0,0.018233,0.018824
WNDR,WNDR/USDT,wndrusdt,4,6,2,0.0,0.0,1,0,0,0,0.0392,0.036973,0.035183,0.036096,10000.036301,-9999.962755,0.036096,0.036096,0.036096,0.036096,False,False,1,0.0,0.035183,0.0392
KAN,KAN/USDT,kanusdt,4,6,0,0.001302,0.0,1,0,0,0,0.001337,0.0013,0.001302,0.001308,0.001308,-9999.998686,0.001302,0.001303,0.001303,0.001303,False,False,1,0.001306,0.001302,0.001337
ELU,ELU/USDT,eluusdt,4,6,2,0.0,0.0,0,0,0,0,0.056083,0.053731,0.055026,0.055026,10000.054606,-9999.945397,0.055026,0.055026,0.055026,0.055026,False,False,1,0.0,0.054614,0.056083
WAR,WAR/USDT,warusdt,4,4,0,0.0,0.0,0,0,0,0,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,False,False,0,0.0,0.0129,0.0129
SKM,SKM/USDT,skmusdt,2,6,2,0.0,0.0,0,0,0,1,0.000677,0.00065,0.000651,0.00066,10000.00065,-9999.999335,0.000651,0.000651,0.000651,0.000651,False,False,0,0.00066,0.00065,0.00066
DFA,DFA/USDT,dfausdt,4,4,0,0.2425,0.2434,1,0,1,0,0.2499,0.2424,0.2425,0.244,0.244,-9999.7546,0.2425,0.244,0.235,0.235,False,False,1,0.2378,0.2425,0.2499
TALK,TALK/USDT,talkusdt,4,6,0,0.175188,0.0,2,1,0,1,0.183001,0.181001,0.175188,0.185872,0.185872,-9999.814128,0.175188,0.178392,0.178392,0.178392,False,False,0,0.185872,0.181001,0.185872
CELO,CELO/USDT,celousdt,4,4,1,1.2838,1.2714,1,2,1,1,1.2646,1.262,1.2551,1.2714,10001.2588,1.2551,1.2855,1.2714,1.2685,1.2685,False,False,1,1.2551,1.2551,1.2646
NYM,NYM/USDT,nymusdt,4,4,0,0.48,0.0,2,1,0,1,0.4928,0.4811,0.48,0.5097,0.5097,-9999.5044,0.48,0.4945,0.4466,0.4466,False,False,0,0.5097,0.4811,0.5097
YFI,YFI/USDT,yfiusdt,6,2,2,9124.75,9034.59,1,0,1,1,9065.07,9028.32,8998.71,9034.59,19017.57,-971.6800000000003,9016.64,9034.59,9205.59,9205.59,False,False,1,8998.71,8998.71,9065.07
MDS,MDS/USDT,mdsusdt,2,6,0,0.0,0.0,1,0,0,0,0.000305,0.000294,0.000282,0.000282,0.000282,-9999.999706,0.000282,0.000282,0.000282,0.000282,False,False,1,0.0,0.000282,0.000305
AKRO,AKRO/USDT,akrousdt,2,5,0,0.00338,0.00343,1,2,1,1,0.00342,0.00341,0.00338,0.00342,0.00342,0.00338,0.00338,0.0034,0.00335,0.00335,True,False,1,0.00342,0.00338,0.00342
SNS,SNS/USDT,snsusdt,2,6,2,0.0,0.0,1,0,0,0,0.029903,0.029903,0.029103,0.029906,10000.029103,0.029906,0.029906,0.029906,0.029906,0.029906,False,False,1,0.0,0.029103,0.029903
CVX,CVX/USDT,cvxusdt,4,4,1,0.0,10.0676,1,2,1,0,9.6458,9.5725,9.5728,10.0676,10009.5728,9.5728,9.9029,10.0676,9.9029,9.9029,False,False,1,9.5728,9.5728,9.6458
1INCH,1INCH/USDT,1inchusdt,4,6,0,0.921402,0.925472,1,0,1,0,0.928856,0.924449,0.921402,0.926322,0.926322,-9999.073455,0.921402,0.926322,0.913958,0.913958,False,False,1,0.918217,0.921402,0.928856
WAXP,WAXP/USDT,waxpusdt,2,6,0,0.122748,0.122183,2,1,1,1,0.12411,0.123817,0.122748,0.125826,0.125826,-9999.875096,0.122748,0.122677,0.119648,0.119648,False,False,0,0.125826,0.123817,0.125826
XCAD,XCAD/USDT,xcadusdt,4,4,0,2.9733,3.1013,1,0,1,0,3.2819,3.1977,2.9733,3.0915,3.0915,-9996.7959,2.9733,3.0915,2.8811,2.8811,False,False,1,2.9567,2.9733,3.2819
GMT,GMT/USDT,gmtusdt,4,4,1,0.0,1.3541,0,1,0,1,1.3396,1.3175,1.3348,1.3541,10001.3302,1.3348,1.3348,1.3541,1.3456,1.3456,False,False,0,1.3074,1.3175,1.3541
FTI,FTI/USDT,ftiusdt,2,8,2,0.0,0.0,0,2,0,0,5.837e-05,5.535e-05,5.557e-05,5.947e-05,10000.00005572,5.557e-05,5.79e-05,5.79e-05,5.79e-05,5.79e-05,False,False,1,0.0,5.557e-05,5.837e-05
TRIBE,TRIBE/USDT,tribeusdt,4,4,1,0.2503,0.2515,2,1,1,1,0.25,0.25,0.2492,0.2503,0.2503,0.2492,0.2515,0.2503,0.2504,0.2504,False,True,0,0.2492,0.25,0.2503
PVT,PVT/USDT,pvtusdt,2,8,2,0.0,0.0,0,0,0,0,2.896e-05,2.75e-05,2.878e-05,2.878e-05,10000.00002833,-9999.99997129,2.878e-05,2.878e-05,2.878e-05,2.878e-05,False,False,0,0.0,2.75e-05,2.899e-05
UIP,UIP/USDT,uipusdt,2,6,2,0.0,0.0,2,1,0,0,0.000342,0.000337,0.000337,0.000347,0.000347,-9999.999653,0.000336,0.000336,0.000336,0.000336,False,False,0,0.0,0.000337,0.000347
NANO,NANO/USDT,nanousdt,4,4,2,1.1026,1.1068,1,2,1,1,1.1063,1.1063,1.0896,1.1139,10001.0959,1.0896,1.1026,1.1093,1.0802,1.0802,False,False,1,1.1139,1.0896,1.1063
SPRT,SPRT/USDT,sprtusdt,4,4,2,0.0,0.0,0,0,0,0,0.5089,0.4564,0.5021,0.5021,10000.4994,-9999.4951,0.5021,0.5021,0.5021,0.5021,False,False,0,0.0,0.4564,0.5048
NSURE,NSURE/USDT,nsureusdt,4,4,2,0.0,0.0,1,2,0,0,0.0224,0.0208,0.0207,0.0233,10000.0209,0.0207,0.0233,0.0233,0.0233,0.0233,False,False,1,0.0,0.0207,0.0224
WPCI,WPCI/USDT,wpciusdt,4,4,2,0.0,0.0,1,2,0,0,0.3952,0.3918,0.3921,0.3952,10000.3944,0.3921,0.3944,0.3944,0.3944,0.3944,False,False,1,0.0,0.3921,0.3952
USDT,USDT/BRL,usdtbrl,1,3,0,4.884,4.925,1,0,1,0,5.188,4.924,4.884,4.924,4.924,-9995.075,4.884,4.924,4.925,4.925,False,False,1,4.885,4.884,5.188
EPIK,EPIK/USDT,epikusdt,4,6,1,0.024093,0.022802,0,1,0,1,0.022061,0.021,0.022474,0.022802,10000.021644,0.022474,0.022723,0.022802,0.02314,0.02314,False,False,0,0.022474,0.021,0.022802
LOVE,LOVE/USDT,loveusdt,2,8,0,0.00589357,0.00595676,2,0,1,0,0.00596771,0.00588899,0.00589357,0.00591056,0.00591056,-9999.99409702,0.00589357,0.00591056,0.00594019,0.00594019,False,False,0,0.00589213,0.00588899,0.00591056
